,trip_id,start_time,end_time,headway_secs,start_time_sec,end_time_sec,sec_range,trip_id_total_trains,weekday,saturday,sunday,week,week_trip,sunday_trip,saturday_trip
0,25816292,06:30:00,07:15:00,450,23400,26100,2700,6,,0,0,1,1,0,0
1,25816294,07:15:00,09:30:00,215,26100,34200,8100,38,,0,0,1,1,0,0
2,25816296,09:30:00,10:00:00,265,34200,36000,1800,7,,0,0,1,1,0,0
3,25816298,10:05:50,16:40:00,700,36350,60000,23650,34,,0,0,1,1,0,0
4,25816300,16:40:00,19:00:00,225,60000,68400,8400,37,,0,0,1,1,0,0
5,25816302,19:00:00,19:30:00,290,68400,70200,1800,6,,0,0,1,1,0,0
6,25816304,19:30:00,20:00:00,355,70200,72000,1800,5,,0,0,1,1,0,0
7,25816306,20:00:00,21:00:00,535,72000,75600,3600,7,,0,0,1,1,0,0
8,25816308,21:00:00,25:05:00,525,75600,90300,14700,28,,0,0,1,1,0,0
9,25816310,06:30:00,12:00:00,520,23400,43200,19800,38,,0,0,1,0,0,1
10,25816312,12:00:00,25:05:00,525,43200,90300,47100,90,,0,0,1,0,0,1
11,25816314,06:30:00,12:00:00,520,23400,43200,19800,38,5,1,0,0,0,1,0
12,25816316,12:00:00,25:05:00,525,43200,90300,47100,90,5,1,0,0,0,1,0
13,25816309,21:00:00,01:05:00,525,75600,90300,14700,28,,0,0,1,1,0,0
14,25816307,20:00:00,21:00:00,535,72000,75600,3600,7,,0,0,1,1,0,0
15,25816305,19:30:00,20:00:00,355,70200,72000,1800,5,,0,0,1,1,0,0
16,25816303,19:00:00,19:30:00,290,68400,70200,1800,6,,0,0,1,1,0,0
17,25816301,16:40:00,19:00:00,225,60000,68400,8400,37,,0,0,1,1,0,0
18,25816299,10:00:00,16:40:00,700,36000,60000,24000,34,,0,0,1,1,0,0
19,25816297,09:30:00,10:00:00,265,34200,36000,1800,7,,0,0,1,1,0,0
20,25816295,07:15:00,09:30:00,215,26100,34200,8100,38,,0,0,1,1,0,0
21,25816293,06:30:00,07:15:00,450,23400,26100,2700,6,,0,0,1,1,0,0
22,25816311,06:30:00,12:00:00,520,23400,43200,19800,38,,0,0,1,0,0,1
23,25816313,12:00:00,01:05:00,525,43200,90300,47100,90,,0,0,1,0,0,1
24,25816315,06:30:00,12:00:00,520,23400,43200,19800,38,5,1,0,0,0,1,0
25,25816317,12:00:00,01:05:00,525,43200,90300,47100,90,5,1,0,0,0,1,0
26,25816252,06:30:00,07:00:00,420,23400,25200,1800,4,,0,0,1,1,0,0
27,25816254,07:00:00,07:30:00,350,25200,27000,1800,5,,0,0,1,1,0,0
28,25816256,07:30:00,09:30:00,240,27000,34200,7200,30,,0,0,1,1,0,0
29,25816258,09:30:00,10:00:00,275,34200,36000,1800,7,,0,0,1,1,0,0
30,25816260,10:00:00,16:30:00,400,36000,59400,23400,58,,0,0,1,1,0,0
31,25816262,16:30:00,19:30:00,260,59400,70200,10800,42,,0,0,1,1,0,0
32,25816264,19:30:00,20:00:00,325,70200,72000,1800,6,,0,0,1,1,0,0
33,25816266,20:00:00,20:30:00,400,72000,73800,1800,4,,0,0,1,1,0,0
34,25816268,20:30:00,21:00:00,440,73800,75600,1800,4,,0,0,1,1,0,0
35,25816270,21:00:00,21:30:00,495,75600,77400,1800,4,,0,0,1,1,0,0
36,25816272,21:30:00,22:30:00,485,77400,81000,3600,7,,0,0,1,1,0,0
37,25816274,22:30:00,25:05:00,645,81000,90300,9300,14,,0,0,1,1,0,0
38,25816276,06:30:00,12:00:00,495,23400,43200,19800,40,,0,0,1,0,0,1
39,25816278,12:00:00,20:30:00,440,43200,73800,30600,70,,0,0,1,0,0,1
40,25816280,20:30:00,22:30:00,485,73800,81000,7200,15,,0,0,1,0,0,1
41,25816282,22:30:00,25:05:00,640,81000,90300,9300,15,,0,0,1,0,0,1
42,25816284,06:30:00,12:00:00,495,23400,43200,19800,40,5,1,0,0,0,1,0
43,25816286,12:00:00,20:30:00,440,43200,73800,30600,70,5,1,0,0,0,1,0
44,25816288,20:30:00,22:30:00,485,73800,81000,7200,15,5,1,0,0,0,1,0
45,25816290,22:30:00,25:05:00,640,81000,90300,9300,15,5,1,0,0,0,1,0
46,25816275,22:30:00,01:05:00,645,81000,90300,9300,14,,0,0,1,1,0,0
47,25816273,21:30:00,22:30:00,485,77400,81000,3600,7,,0,0,1,1,0,0
48,25816271,21:00:00,21:30:00,495,75600,77400,1800,4,,0,0,1,1,0,0
49,25816269,20:30:00,21:00:00,440,73800,75600,1800,4,,0,0,1,1,0,0
50,25816267,20:00:00,20:30:00,400,72000,73800,1800,4,,0,0,1,1,0,0
51,25816265,19:30:00,20:00:00,325,70200,72000,1800,6,,0,0,1,1,0,0
52,25816263,16:30:00,19:30:00,260,59400,70200,10800,42,,0,0,1,1,0,0
53,25816261,10:00:00,16:30:00,400,36000,59400,23400,58,,0,0,1,1,0,0
54,25816259,09:30:00,10:00:00,275,34200,36000,1800,7,,0,0,1,1,0,0
55,25816257,07:30:00,09:30:00,240,27000,34200,7200,30,,0,0,1,1,0,0
56,25816255,07:00:00,07:30:00,350,25200,27000,1800,5,,0,0,1,1,0,0
57,25816253,06:30:00,07:00:00,420,23400,25200,1800,4,,0,0,1,1,0,0
58,25816283,22:30:00,01:05:00,640,81000,90300,9300,15,,0,0,1,0,0,1
59,25816281,20:30:00,22:30:00,485,73800,81000,7200,15,,0,0,1,0,0,1
